### events EW_flavor.100 upto EW_flavor.199

EVTDESC_EW_flavor_420;A year and a half has passed since I started my preparations for the Dharmayuddh, and I am sure that whoever wanted to take part in the war would have arrived by now. Now all that remains is to find a place to point my newfound troops towards. If I don't declare war within half a year, my allied troops might lose enthusiasm for the war altogether.;Un an s'est écoulé depuis que j'ai commencé mes préparatifs pour la reconquête de la péninsule ibérique et je suis sûr[Root.Get_E] que ceux qui veulent prendre part à la reconquête ont eu assez de temps pour se manifester. Il ne reste plus qu'à trouver un endroit vers lequel orienter mes nouveaux alliés.;Ein Jahr ist vergangen, seit ich mit den Vorbereitungen zur Rückeroberung von Iberien begonnen habe und ich bin mir sicher, dass jeder, der daran teilnehmen möchte, angekommen ist. Jetzt bleibt nur noch einen Ort zu finden, auf den ich meine neuen Verbündeten richten kann.;;Ya ha pasado un año desde que comencé los preparativos para la reconquista de la península ibérica. Estoy segur[Root.GetOA] de que ya han llegado todos los que querían participar en la Reconquista. Ahora solo resta encontrar el lugar hacia el que apuntar mis nuevos aliados.;;;;;x
OPT_A_EW_flavor_420;Now to find a fitting target.;Maintenant, trouvons une cible adéquate.;Finden wir ein passendes Ziel...;;Debo encontrar un objetivo adecuado.;;;;;x

TITLE_EW_flavor_430;Victory;;;;;;;;;x
EVTDESC_EW_flavor_430;[Root.GetTitledFirstName] has won the Dharmayuddh against an adharmic ruler. The enemy's realm is in ruins, and the piety of the holy warrior can no longer be questioned. It is a joyful day for the faithful.;J'ai attendu trop longtemps, semble-t-il, car mes hommes et toute ma préparation commencent à se disperser. Ils ont perdu confiance dans mes projets lorsque je n'avais pas déclenché de guerre pour l'Ibérie.;Es scheint, dass ich zu lange. Meine Männer und all meine Vorbereitungen fallen langsam auseinander. Es scheint, dass die Menschen den Glauben an meine Pläne verloren haben, als ich den Krieg um Iberien nicht begonnen habe.;;Parece que he esperado demasiado y mis hombres y preparativos se vinien abajo. Parece que el no empezar una guerra por la península ibérica hizo que la gente perdiera la fe en mis planes.;;;;;x
OPT_A_EW_flavor_430;It is the will of the Lord;Enfer et damnation !;Verdammt!;;¡Maldición!;;;;;x

TITLE_EW_flavor_431;Defeat;;;;;;;;;x
EVTDESC_EW_flavor_431;[Root.GetTitledFirstName] has met defeat in the Dharmayuddh against an adharmic ruler. It is clear that the Lord does not favor [Root.GetFirstName]. This humiliation will be a great stain on the history of the Eternal Way.;J'ai attendu trop longtemps, semble-t-il, car mes hommes et toute ma préparation commencent à se disperser. Ils ont perdu confiance dans mes projets lorsque je n'avais pas déclenché de guerre pour l'Ibérie.;Es scheint, dass ich zu lange. Meine Männer und all meine Vorbereitungen fallen langsam auseinander. Es scheint, dass die Menschen den Glauben an meine Pläne verloren haben, als ich den Krieg um Iberien nicht begonnen habe.;;Parece que he esperado demasiado y mis hombres y preparativos se vinien abajo. Parece que el no empezar una guerra por la península ibérica hizo que la gente perdiera la fe en mis planes.;;;;;x
OPT_A_EW_flavor_431;A dark day for the faithful.;Enfer et damnation !;Verdammt!;;¡Maldición!;;;;;x

EVTDESC_EW_flavor_440;It seems I have waited too long, as my men and all my preparation starts to come apart. It seems people lost faith in my plans when I did not start any wars in the name of Iishvar.;J'ai attendu trop longtemps, semble-t-il, car mes hommes et toute ma préparation commencent à se disperser. Ils ont perdu confiance dans mes projets lorsque je n'avais pas déclenché de guerre pour l'Ibérie.;Es scheint, dass ich zu lange. Meine Männer und all meine Vorbereitungen fallen langsam auseinander. Es scheint, dass die Menschen den Glauben an meine Pläne verloren haben, als ich den Krieg um Iberien nicht begonnen habe.;;Parece que he esperado demasiado y mis hombres y preparativos se vinien abajo. Parece que el no empezar una guerra por la península ibérica hizo que la gente perdiera la fe en mis planes.;;;;;x
OPT_A_EW_flavor_440;What a disappointment.;Enfer et damnation !;Verdammt!;;¡Maldición!;;;;;x
