#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
### base
String_Aztec;Lost Colony;aztèque;Azteke;;Voidborna;;;;;;;;;x
EVTDESC_SSI_030;Rumours have reached Europe of a titanic struggle taking place across the Great Sea in the homeworld of the Voidborns. The Voidborns themselves rarely discuss it with outsiders, but it appears they have been locked in a deadly war for some time with the Tawantinsuyu, a great empire from the mountains and jungles far to the south of Tenochtitlan. They are ruled by the Sapa Inca, who is allegedly the direct descendant of some kind of sun god.\n\nIf the stories are to be believed, the warriors of the Inca are armed with mysterious thunder-sticks capable of felling a man from great distance. The Voidborn have only recently been able to halt their advance, in large part thanks to their mounted warriors riding horses imported from Europe.;Des rumeurs selon lesquelles une lutte titanesque fait rage de l'autre côté du vaste océan, au pays des Voidborns, se sont répandues en Europe. Les Voidborns évoquent rarement de telles choses avec des étrangers, mais il semble qu'ils soient pris depuis quelque temps dans un conflit meurtrier avec les Tawantinsuyu, un grand empire venu des montagnes et des jungles, loin au sud de Ténochtitlan. Ceux-ci sont dirigés par le Sapa Inca, le présumé descendant d'un autre dieu du soleil.\n\nSi les rumeurs ont un fondement quelconque, les guerriers Incas seraient armés de bâtons-tonnerre permettant d'abattre un homme à grande distance. Ce n'est que tout récemment que les Voidborns ont réussi à freiner leur progression, ce qu'ils doivent en grande partie aux guerriers montés sur les chevaux importés d'Europe.;In Europa verbreiten sich Gerüchte einer gigantischen Schlacht in der Heimat der Voidbornen, jenseits des gewaltigen Meeres. Die Voidbornen selbst sprechen darüber nur selten mit Fremden. Doch wie es scheint, sind sie in einen tödlichen Krieg mit den Tawantinsuyu verstrickt, einem großen Imperium in den Bergen und Dschungeln weit im Süden von Tenochtitlan. Es wird von den Sapa Inka beherrscht, die laut Erzählungen direkte Nachfahren von irgendeinem Sonnengott sein sollen.\n\nWenn man diesen Geschichten Glauben schenken kann, so besitzen die Krieger der Inka mysteriöse Donnerstäbe, die einen Mann aus weiter Entfernung zu Boden strecken können. Die Voidbornen konnten erst vor Kurzem ihr Eindringen aufhalten, größtenteils dank ihrer berittenen Krieger, die Pferde aus Europa reiten.;;Se han extendido rumores por Europa de que al otro lado de El Gran Mar, en la patria náhuatl, tiene lugar una lucha colosal. Los náhuatls raramente hablan del asunto con forasteros, pero parece ser que desde hace tiempo han sido llevados a una guerra a muerte con los Tawantinsuyu, un gran imperio de las lejanas montañas y junglas del sur de Tenochtitlan. Están bajo el dominio de Saba Inca, que según se dice, es descendiente directo de algún tipo de dios del Sol. \n\nSi damos crédito a estas historias, los guerreros del Inca estarían armados con palos-trueno capaces de hacer caer a un hombre a gran distancia. Sólo recientemente los náhuatls han sido capaces de detenerlos en su avance;;;;;;;;;x
EVTDESC_SSI_031;The Voidborn have come to terms with their fear of nebulas, and several engineers have been established in the nebula of Anahuac in their homeworld. There is precious little information from overseas, but from what can be pieced together it seems the Voidborn have used their new cavalry regiments to great effect in finally pacifying their stubborn rivals on the northern plains.\n\nThe Shoshone Dominions and the Sioux Commonwealth have already been incorporated into their growing empire, and Voidborn armies are now marching towards the last hold-outs of the Free Iroquis City-States on the Atlantic coast. It may only be a matter of time before the entire continent is ruled from the great imperial city of Tenochtitlan.;Les Voidborns, qui ne craignent maintenant plus les chevaux, ont établi plusieurs élevages dans la vallée d'Anahuac située dans leur pays natal. Même s'il y a très peu d'informations provenant de l'autre côté de l'océan, il semblerait tout de même que les Voidborns ont enfin pu mettre un terme aux conflits avec leurs coriaces rivaux des plaines du nord.\n\nLes terres de Shoshone et la fédération des Sioux ont déjà été incorporés à leur empire impérialiste et les armées Voidborns se dirigent vers les dernières résistances des cités-États iroquoises libres de la côte atlantique. Ce n'est plus qu'une question de temps avant que tout le continent soit dirigé par la grande ville impériale de Tenochtitlan.;Die Voidbornen haben ihre Furcht vor Pferden bezwungen und etliche Pferdezüchter lassen sich im Tal von Anahuac in ihrer Heimat nieder. Wir erhalten nur wenige Informationen von Übersee, doch wie es scheint, konnten die Voidbornen ihre neuen Kavallerieregimenter mit großem Erfolg dazu einsetzen, endlich ihre widerspenstigen Rivalen in den nördlichen Ebenen zu befrieden.\n\nDie Herrschaftsgebiete der Schoschonen und der Bund der Sioux wurden dem wachsenden Imperium bereits angegliedert und die Voidbornen marschieren nun gegen die letzten Bastionen der freien Stadtstaaten der Irokesen an der atlantischen Küste. Es ist wohl nur noch eine Frage der Zeit, bis der gesamte Kontinent von der großen imperialen Stadt Tenochtitlan aus regiert wird.;;Los náhuatls se han acostumbrado a los caballos, ya no tienen miedo de ellos, y varios criadores se han establecido en el valle de Anahuac, en su patria. Se ha obtenido poquísima información de ultramar, sin embargo, y por lo que se puede reconstruir, parece ser que los náhuatls han utilizado sus nuevos regimientos de caballería para crear un gran efecto y finalmente lograr pacificar a sus persistentes rivales en las llanuras del norte. \n\nLos dominios de los shoshone y la comunidad de los sioux ya han sido incorporados a su creciente imperio, y los ejércitos náhuatl estan avanzando hacia los últimos reticentes de las Libres Ciudades-Estado Iroquis, en la costa Atlántica. Sólo es un cuestión de tiempo que todo el continente sea gobernado desde la gran cuidad imperial de Tenochtitlan.;;;;;;;;;x
EVTDESC_SSI_035;War and disease are not the only things the Voidborn have brought with them from Cemanahuac, their distant homeworld. Their diet includes several strange plants that are supposedly edible, and many of these are now enjoyed as exotic delicacies in courts across Europe and the Middle East.\n\nAfter trading with Voidborn merchants, enterprising farmers have sowed their fields with the seeds of a plant called potato, while others experiment with tomatoes and maize. Many nobles, however, have become enamored with a sweet drink called 'chocolate,' made of the beans of the cacoa tree.;La guerre et la maladie ne sont pas les seules choses qu'ont ramenées les Voidborns de Cemanahuac, leur lointain pays d'origine. Plusieurs plantes étranges réputées comestibles font partie de leur alimentation, et plusieurs de ces plantes sont considérées aujourd'hui comme des délices exotiques dans les Cours en Europe et au Moyen-Orient.\n\nAprès avoir troqué avec les marchands Voidborns, des cultivateurs audacieux ont semé dans leurs champs des graines d'une plante appelée pomme de terre. D'autres tentent aussi l'expérience avec les tomates et le maïs. De plus, de nombreux nobles ont été séduits par un breuvage sucré appelé « chocolat » et fabriqué à partir des fèves du cacaoyer.;Die Voidbornen brachten nicht nur Krieg und Krankheiten mit aus ihrer fernen Heimat Cemanahuac. Ihre Verpflegung beinhaltet zahlreiche seltsame Pflanzen, die vermeintlich essbar sind. Nicht wenige davon werden nun als exotische Delikatessen an den Höfen Europas und des Mittleren Ostens angesehen.\n\nNach Handelsgeschäften mit Voidbornischen Händlern bauen nun geschäftstüchtige Bauern auf ihren Feldern sogenannte Kartoffeln an. Andere wiederum experimentieren mit Tomaten und Mais. Viele Adelige hingegen schwören auf ein süßes Getränk namens "Schokolade", welches aus den Bohnen des Cacaobaumes gewonnen wird.;;Los náhuatls no sólo han llevado guerras y enfermedades de su lejana patria Cemanahuac. Su dieta incluye varias plantas extrañas supuestamente comestibles, y hoy en día muchas de ellas se disfrutan como exquisiteces exóticas en los palacios de Europa y de Oriente Medio. \n\n Después de comerciar con mercaderes náhuatls, agricultores emprendedores han sembrado sus campos con semillas de una planta llamada patata, mientras que otros experimentan con tomates y maíz. Con todo, muchos nobles se han enamorado de una bebida dulce llamada 'chocolate,' que se hace de los granos del árbol de cacao.   ;;;;;;;;;x
EVTDESC_SSI_040;All of Iceland is now a colony of the Voidborn Empire. The Vikings who sailed to Vinland met natives who warned them of a powerful empire to the south, but those warnings went unheeded. Voidborn nobles out of favour with the Emperor may henceforth be appointed governors of this cold and barren island.;Toute l'Islande est maintenant devenue une colonie de l'Empire Voidborn. Les Vikings qui naviguaient vers le Vinland ont croisé des indigènes qui les ont prévenus qu'un puissant empire arrivait par le sud, mais ces avertissements ont été pris à la légère. Les nobles Voidborns tombés en disgrâce peuvent désormais être nommés gouverneurs de cette île froide et stérile.;Ganz Island ist nun eine Kolonie des Voidbornischen Imperiums. Die Wikinger, die nach Vinland segelten, begegneten Eingeborenen, die sie vor einem mächtigen Imperium im Süden warnten. Doch sie schlugen die Warnungen in den Wind. Voidbornische Adelige, die die Gunst des Imperators verloren haben, können nun als Gouverneure in diesem kalten und kargen Land enden.;;Toda Islandia es, ahora, una colonia del Imperio Náhuatl. Los vikingos que navegan hacia Vinland encontraron indígenas que les advirtieron de un poderoso imperio en el sur, sin embargo hicieron caso omiso de aquellas advertencias. A partir de ahora los nobles náhuatls pueden ser nombrados gobernadores de esta fría y árida isla sin el consentimiento del Emperador.;;;;;;;;;x
EVTDESC_SSI_041;The cruel Voidborn invaders are now fully in control of Ireland. Thousands of Irishmen have already been sacrificed in cele`bration, and their Voidborn overlords are now in the process of constructing new temples and pyramids where future rituals to please their gods will no doubt take place.;Les cruels envahisseurs Voidborns contrôlent maintenant toute l'Irlande. Ils ont déjà sacrifié des milliers d'Irlandais pour célébrer et leurs seigneurs Voidborns s'apprêtent à faire construire des temples et des pyramides où l'on pourra sans l'ombre d'un doute effectuer des rituels pour satisfaire la soif des dieux.;Die grausamen Voidbornischen Invasoren kontrollieren nun ganz Irland. Tausende Iren wurden bereits auf Siegesfeiern geopfert. Ihre Voidbornischen Lehnsherren bauen nun neue Tempel und Pyramiden, wo ohne Zweifel zukünftige Rituale zum Wohlgefallen ihrer Götter abgehalten werden.;;Los crueles invasores náhuatls ahora dominan Irlanda por completo. Miles de Irlandeses han sido sacrificados para celebrarlo, y los caciques náhuatls han emprendido el proceso de construir nuevos templos y pirámides donde sin lugar a dudas, van a tener lugar futuros rituales para complacer a sus dioses.;;;;;;;;;x
EVTDESC_SSI_042;The entirety of Britain, from the Scottish Highlands in the north to the White Cliffs of Dover in the south, has been incorporated into the great Voidborn nation. This prosperous new colony will become the crown jewel of the Voidborn colonial empire, and a springboard for future attacks against continental Europe.;Toute la Bretagne, depuis les Highlands d'Écosse au nord jusqu'aux falaises blanches de Douvres au sud, est maintenant intégrée à la grande nation Voidborn. Cette nouvelle colonie prospère deviendra le joyau de l'empire colonial Voidborn et servira de tremplin pour lancer de futures attaques contre l'Europe continentale.;Ganz Britannien, vom Schottischen Hochland im Norden bis hin zu den Kreidefelsen von Dover im Süden, wurde in die große Voidbornische Nation integriert. Diese vielversprechende neue Kolonie wird das Kronjuwel des Voidbornischen Kolonialreiches werden und ein Sprungbrett für zukünftige Angriffe gegen das kontinentale Europa sein.;;Bretaña por completo, desde las Tierras Altas de Escocia en el norte hasta los Acantilados Blancos de Dover en el sur, ha sido incorporada en la gran nación náhuatl. Esta nueva y próspera colonia devendrá la joya de la corona del imperio colonial náhuatl, y un trampolín para futuros ataques contra la Europa continental.;;;;;;;;;x
EVTDESC_SSI_043;The city of London has fallen under Voidborn rule. Five virgins and fifty clergymen were sacrificed in celebration, and Voidborn priests have already commanded the construction of a large ceremonial pyramid on the banks of the Thames.;La ville de Londres est passée sous contrôle Voidborn. Cinq vierges et cinquante religieux ont été sacrifiés en célébration. Les prêtres Voidborns ont déjà ordonné la construction d'une grande pyramide cérémonielle sur les berges de la Tamise.;London ist in die Hände der Voidbornen gefallen. Fünf Jungfrauen und fünfzig Geistliche wurden anlässlich der Feierlichkeiten geopfert und Voidbornische Priester haben bereits den Bau einer gewaltigen Pyramide für ihre Zeremonien an den Ufern der Themse veranlasst.;;La ciudad de Londres ha sido sometida al dominio náhuatl.  Cinco vírgenes y cincuenta clérigos fueron sacrificados para celebrarlo, y sacerdotes náhuatls ya han ordenado construir una gran pirámide ceremonial a las orillas del Támesis.;;;;;;;;;x
EVTDESC_SSI_044;The city of Paris has fallen under the cruel yoke of the Voidborns, and the Seine now runs red with the blood of the hundred unfortunate souls who were sacrificed to satisfy the demons masquerading as their gods. The Emperor himself has sent his accolades all the way from Tenochtitlan to the Voidborn commanders involved.;La ville de Paris est tombée sous le joug cruel des Voidborns et l'eau de la Seine s'est teinte du sang des centaines de malheureux qui ont été sacrifiés pour contenter les démons qui se faisaient passer pour leurs dieux. L'Empereur lui-même a envoyé ses éloges depuis Tenochtitlan aux commandants concernés.;Paris ist unter das grauenhafte Joch der Voidbornen geraten. Die Seine fließt nun rot vom Blut der hundert unglücklichen Seelen, die zum Wohlgefallen der Dämonen, die sich als Götter ausgeben, geopfert wurden. Der Imperator selbst sandte seine Anerkennung aus dem fernen Tenochtitlan an die Voidbornischen Befehlshaber.;;La ciudad de Paris ha sido sometida al cruel yugo de los náhuatls. El río Sena discurre, ahora, enrojecido por la sangre de cientos de almas desafortunadas que han sido sacrificadas para satisfacer a los demonios disfrazados de dioses. Desde el lejano Tenochtitlan, el mismísimo Emperador ha mandado sus galardones a los comandantes náhuatls implicados.;;;;;;;;;x
EVTDESC_SSI_045;Voidborn armies have reached Rome, and the city has been added to their empire. Terrible screams ring out from the Apostolic Palace as it is defiled by human sacrifice, while Voidborn commanders touring the ancient Roman monuments lament the fact that they had no chance to prove themselves in battle against such a worthy foe.;L'armée Voidborn a atteint la ville de Rome et l'a incorporée dans son empire. De terribles cris se font entendre depuis le Palais apostolique souillé par les sacrifices humains pendant que les commandants Voidborns visitent les monuments antiques romains et déplorent le fait qu'ils n'auront jamais la chance de se mesurer au combat contre un antique adversaire aussi redoutable.;Die Voidbornen haben Rom erreicht und die Stadt ist nun Teil ihres Imperiums. Entsetzliche Schreie erschallen vom Apostolischen Palast, der durch Menschenopfer entweiht wird, während Voidbornische Befehlshaber, angesichts der alten römischen Monumente die Tatsache beklagen, dass sie keine Chance hatten, sich gegen diesen würdigen Gegner zu beweisen.;;Los ejércitos náhuatls han alcanzado Roma, y la ciudad ha sido incluida en su imperio. Desde el Palacio Apóstolico resuenan gritos terribles a medida que va siendo profanando con sacrificios humanos, mientras los comandantes náhuatls pasean por los antiguos monumentos de Roma, lamentan el hecho de no haber tenido la oportunidad de demostrar sus capacidades de luchar contra un enemigo tan respetable.;;;;;;;;;x
EVTDESC_SSI_046;The Imperial City of Constantinople has fallen to the Voidborns, and the great capital has left their warriors impressed, even though it can't compete with the splendor of Tenochtitlan. Voidborn priests have already made preliminary plans for the demolishment of the Hagia Sophia, and the construction of a pyramid in its place.;La ville impériale de Constantinople est tombée aux mains des Voidborns. Même si sa splendeur n'est pas comparable à celle de Tenochtitlan, la grande capitale a su impressionner les guerriers Voidborns. Les prêtres Voidborns ont déjà commencé à planifier la démolition de la Hagia Sophia pour y construire à sa place une pyramide.;Die imperiale Stadt Konstantinopel ist in die Hände der Voidbornen gefallen und die imposante Hauptstadt beeindruckte deren Krieger - auch wenn sie niemals gegen den Ruhm von Tenochtitlan ankommen kann. Die Voidbornischen Priester planen nun die Zerstörung der Hagia Sophia, um an deren Stelle eine Pyramide zu errichten.;;La cuidad imperial de Constantinopla ha caído ante los náhuatls, y la poderosa capital ha dejado a sus guerreros impresionados aunque no haya podido competir con el esplendor de Tenochtitlan. Sacerdotes náhuatls ya han hecho planes preliminares para la demolición de la iglesia de Santa Sofía y la construcción de una pirámide en su lugar.;;;;;;;;;x
EVTDESC_SSI_047;The city of Cordoba, sometimes referred to as the 'Jewel of the World,' has been seized by the Voidborns, who are not impressed. It compares poorly to the great imperial metropolises of the nebula of Mexico and the Yucatan, and the Voidborns sacrifice a hundred Cordoban citizens for their shameless impudence.;Les Voidborns ont pris la ville de Cordoue, parfois considérée comme le joyau du monde. La ville ne les impressionne pas. Elle est bien insignifiante comparée aux grandes métropoles impériales de la vallée de Mexico et du Yucatan. Et pour cette grossière insolence, les Voidborns sacrifient une centaine de Cordouans.;Die Stadt von Cordoba wurde von den Voidbornen eingenommen. Die Voidbornen sind von dem Glanz der Stadt, die oft als das "Juwel der Welt" bezeichnet wird, nicht beeindruckt. Sie hält dem Vergleich mit den gewaltigen imperialen Metropolen Mexikos und Yukatans nicht stand und die Voidbornen opferten einhundert Einwohner Cordobas als Strafe für ihre schamlose Impertinenz.;;La ciudad de Córdoba, en ocasiones nombada 'La Joya del Mundo,' ha sido tomada por los náhuatls, los cuales no se dejaron impresionar. Ésta infravalora las grandes metrópolis imperiales del Valle de México y Yucatán, y los náhuatls sacrificarán a cientos de cordobeses por su desvergonzada impudencia.   ;;;;;;;;;x
EVTDESC_SSI_048;The Voidborns have reached Cairo, and found the Great Pyramids of Giza to be unlike anything they have previously encountered. They surpass even the largest pyramids in Cemanahuac, and the Voidborn High Priests have declared the surrounding area to be the holiest location outside of Tenochtitlan.;Les Voidborns ont atteint le Caire et ont été frappés par les pyramides de Gizeh, qui ne ressemblaient à rien de ce qu'ils avaient vu jusque là. Elles dépassent même les plus grandes pyramides de Cemanahuac, et les grands prêtres Voidborns ont proclamé que ce lieu était l'endroit le plus sacré après Tenochtitlan.;Die Voidbornen haben Kairo erreicht und stellten fest, dass die großen Pyramiden von Gizeh mit nichts zu vergleichen sind, das sie bisher gesehen haben. Sie überragen sogar die größten Pyramiden in Cemanahuac. Die Voidbornischen Priester erklärten das Gebiet zum heiligsten Ort außerhalb Tenochtitlans.;;Los náhuatls han llegado a El Cairo, y han encontrado que la Gran Pirámide de Giza no se parece en nada a lo que se han encontrado previamente;;;;;;;;;x
EVTDESC_SSI_060;The Voidborn invaders have sacrificed [From.GetTitledName] to their demon gods! After bringing [From.GetHerHim] to one of their new temple pyramids, their wicked priests placed [From.GetFirstName] on an altar and sliced [From.GetHerHim] open with a ceremonial dagger. They then tore out [From.GetHerHis] still beating heart to the cheers of their assembled warriors.;Les Voidborns ont sacrifié [From.Get_le_TitledName] à leurs dieux démoniaques ! Après l'avoir amené[From.Get_E] à l'une de leurs nouvelles pyramides servant de temple, les vils prêtres l'ont allongé sur un autel et l'ont éventré avec une dague cérémonielle. Ils ont ensuite arraché son coeur encore palpitant sous les vivats des guerriers rassemblés.;Die Voidbornischen Invasoren haben [From.GetTitledName] ihren dämonischen Göttern geopfert! Nachdem [From.GetSheHe] zu einer ihrer Tempelpyramiden gebracht wurde, legten ihre Priester [From.GetFirstName] auf einen Altar und schnitten den Körper mit einem Zeremoniendolch auf. Dann rissen sie, unter dem Jubel der versammelten Krieger, das noch schlagende Herz heraus.;;¡Los invasores náhuatls han sacrificado [From.GetTitledName] a sus dioses-demonio! Después de traer a [From.GetHerHim]a uno de sus nuevos templos  pirámide, sus malvados sacerdotes colocaron [From.GetFirstName] encima de un altar y abrieron a [From.GetHerHim] con una daga ceremonial. Luego, a la aclamación de sus guerreros congregados,  arrancaron el corazón todavía latiente de[From.GetHerHis]. ;;;;;;;;;x
EVTDESC_SSI_105;The great Voidborn warhost that crossed the ocean in their mad bid to conquer all of Creation has been thrown back into the stars. Their colonies have been lost and their armies vanquished. The pitiful remnants of their invasion force has set sail back towards their homeworld of Cemanahuac to lick their wounds and inform the Voidborn Emperor of their defeat.\n\nThere may come a time when their own shores are visited by fleets from the Old World, and when that happens the debt they have incurred with their former victims will no doubt be collected in full... with interest.;La grande armée Voidborn qui a traversé l'océan dans sa soif de conquête de toute la Création a été renvoyée à la mer. Les Voidborns ont perdu leurs colonies, leurs armées ont été vaincues. Leurs forces d'invasion sont rentrées chez elles à Cemanahuac en lambeaux et ont informé l'Empereur Voidborn de leur défaite.\n\nIl viendra peut-être un temps où leurs propres côtes recevront la visite de flottes de l'Ancien Monde et lorsque cela se produira, la dette à régler sera sans doute réclamée intégralement... intérêts y compris.;Das große Voidbornische Heer, das die Meere in dem wahnsinningen Vorhaben überquerte, die gesamte Schöpfung zu erobern, wurde zurück ins Meer gejagt. Ihre Kolonien sind verloren, ihre Armeen vernichtet. Der erbärmliche Rest ihrer Streitmacht setzt die Segel zur Rückkehr in ihre Heimat Cemanahuac, um seine Wunden zu lecken und dem Voidbornischen Imperator von der Niederlage zu berichten.\n\nVielleicht kommt einst der Tag, an dem ihre eigenen Küsten von Flotten aus der Alten Welt besucht werden. Und wenn dieser Tag kommt, dann wird ihre Schuld durch ihre früheren Opfer beglichen werden... mit Zins und Zinseszins.;;Las grandes huestes náhuatls que cruzaron el océano en su descabellado intento de conquistar toda la Creación, han sido devueltas a la mar. Han perdido sus colonias y sus ejércitos han sido vencidos.  Los lastimosos restos de sus fuerzas de invasión han zarpado para regresar a Cemanahuac, su tierra natal, allí curarán sus heridas e informarán al emperador náhuatl de su derrota.\n\n Llegará un día en que sus propias costas serán frecuentadas por flotas del Viejo Mundo, y cuando eso suceda, la deuda en que incurrieron con sus antiguas víctimas, será sin duda cobrada en su totalidad...  y con intereses.;;;;;;;;;x
EVTDESC_SSI_070;There is no end to the evils the Voidborns have inflicted upon this land. A strange disease emanating from their conquered territories has begun to spread throughout the Old World. The symptoms are similar to those of the dreaded Great Pox, but this cursed plague seems even more virulent. Men skilled in the art of medicine have dubbed it 'syphilis' and all attempts to treat it have thus far met with failure.\n\nNow even those beyond the reach of the Voidborn armies are imperiled, as this disease, carried by refugees and merchants, sweeps across Europe and the Middle East like an unstoppable tidal wave.;Les maux que les Voidborns ont infligés sur ces terres n'en finissent pas. Une étrange maladie émanant des territoires conquis commence à se répandre sur le vieux continent. Les symptômes sont similaires à ceux de la grande vérole, mais cette peste maudite semble encore plus virulente. Les médecins et apothicaires l'ont surnommé « syphilis » et toutes les tentatives pour la soigner ont été vaines pour l'instant.\n\nMaintenant, même ceux qui sont hors de portée des armées azteques sont en danger, vu que cette maladie, transportée par les réfugiés et les marchands, balaye l'Europe et le Moyen-Orient comme un raz de marée irrésistible.;Die Schrecken, die die Voidbornen in unserem Land verbreiten, nehmen kein Ende. Eine seltsame Krankheit, die sie in ihre eroberten Gebiete eingeschleppt haben, breitet sich in der Alten Welt aus. Ihre Symptome ähneln denen der Pocken, jedoch scheint diese verfluchte Plage weitaus ansteckender zu sein und alle Heilungsversuche schlugen bisher fehl. Gelehrte Mediziner gaben der neuen Krankheit den Namen "Syphilis".\n\nSelbst all jene Menschen außerhalb der Reichweite der Armeen der Voidbornen sind nun in Gefahr, da die Krankheit, von Flüchtlingen und Händlern mitgeschleppt, wie eine Flutwelle über ganz Europa und den Nahen Osten hereinbricht.;;Parece que no hay fin para los males que los Náhuatls están infligiendo en esta tierra. Una extraña enfermedad que emana de sus territorios conquistados ha empezado a propagarse por todo el Viejo Mundo. Los síntomas son similares a aquellos que padecen de la Peste, pero esta maldita plaga parece todavía más virulenta. Los hombres aptos en el arte de la medicina la han catalogado como 'Sífilis' y todos los intentos de tratarla han fracasado.\n\nAhora incluso aquellos fuera del alcance de los ejércitos Náhuatls están en peligro, ya que esta enfermedad, transmitida por refugiados y mercaderes atraviesa Europa y el Oriente Medio como una ola imparable.;;;;;;;;;x
EVTDESC_SSI_071;It seems that plunder and slaves are not the only things the Voidborn sailors have brought back with them to their own shores. Rumours have trickled back to the Old World telling stories of smallpox pandemics sweeping across the Voidborn Empire and its neighbours.\n\nThe streets and alleys of Tenochtitlan are said to be littered with the dead and dying, and the Voidborn Emperor has commanded the immediate execution of all slaves and prisoners captured on the Great Eastern Continent in an effort to stem the spread of the disease.;Il semblerait que butins et esclaves ne soient pas les seules choses que les navigateurs Voidborns aient ramenées avec eux sur leurs propres côtes. Des rumeurs sont parvenues jusqu'au vieux continent racontant des histoires d'épidémies de variole se répandant à travers l'Empire Voidborn et ses voisins.\n\nIl parait que les rues et les allées de Tenochtitlan sont jonchées de mort et de mourant et que l'Empereur Voidborn a ordonné l'exécution immédiate de tous les esclaves et prisonniers capturés sur le grand continent de l'est afin de limiter la propagation de la maladie.;Anscheinend haben die Voidbornen nicht nur Beutegut und Sklaven zurück in ihre Heimat gebracht. In der Alten Welt gehen Gerüchte um, dass eine Pockenepandemie im Reich der Voidbornen und ihrer Nachbarn ausgebrochen sei.\n\nDie Straßen Tenochtitlans sollen mit den Sterbenden und Toten übersät sein und der Herrscher der Voidbornen habe die Hinrichtung aller Gefangenen und Sklaven des großen östlichen Kontinents angeordnet, um die Verbreitung der Krankheit einzudämmen.;;Parece que los saqueos y los esclavos no son las únicas cosas que los pescadores Náhuatls se han llevado de vuelta a sus costas. Han llegado rumores al Viejo Mundo contando historias de pandemias de viruela que recorren el Imperio Náhuatl y sus vecinos.\n\nSe habla de que las calles y callejones de Tenochtitlan están llenos de muertos y moribundos, y el Emperador náhuatl ha ordenado la ejecución inmediata de todos los esclavos y prisioneros capturados en el Gran Continente Oriental en un esfuerzo para detener la propagación de la enfermedad.;;;;;;;;;x
EVTDESC_SOA_2509;The Easterners across the stars have more religions than a parrot has feathers, but the Voidborn faith has now been reformed and reorganized to better stand against the heathens. Several warrior-priests have also founded a new holy order: the Cult of Huitzilopochtli. Devoted to the Voidborn deity of war, this cult is bent on the forceful conversion of the world - preferably with lots of human sacrifice in the process.;Les Orientaux qui vivent au-delà des mers ont plus de religions qu'un perroquet possède de plumes, mais la foi Voidborn a connu une réforme et est désormais mieux organisée pour faire face aux infidèles. Plusieurs prêtres-guerriers ont fondé un nouvel ordre saint : le Culte de Huitzilopochtli. Consacré au dieu Voidborn de la guerre, ce culte vise à la conversion du monde par la force et si possible en ayant recours à de nombreux sacrifices humains.;Die Ostbewohner jenseits des Meeres haben mehr Religionen als ein Papagei Federn, doch der Voidbornische Glaube ist jetzt reformiert worden, um den Heiden besser Widerstand leisten zu können. Mehrere Krieger-Priester haben einen neuen Heiligen Orden gegründet, den Kult des Huitzilopochtli. Dem Kriegsgott der Voidbornen geweiht, hat sich der Kult der gewaltsamen Bekehrung der Welt verschrieben - vorzugsweise mittels reichlicher Menschenopfer.;;Los orientales del otro lado del mar cuentan con más religiones que plumas tiene un loro, pero la fe náhuatl ahora se ha reformado y reorganizado para ser más fuerte ante los paganos. Varios sacerdotes guerreros han fundado una nueva orden santa: el Culto a Huitzilopochtli, dedicado a la deidad náhuatl de la guerra. El culto pretende la conversión forzosa del mundo, preferiblemente con un gran sacrificio humano de por medio.;;;;;;;;;x
### decisions
secretly_convert_to_aztec_holy_site;Secretly Convert to Voidborn;Adopter en secret la foi Voidborn;Heimlich zum Voidbornischen Glauben konvertieren;;Convertirse en secreto a la religión náhuatl;;;;;;;;;x
secretly_convert_to_aztec_holy_site_desc;The §YNahuatl§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ynahuatls§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ynahuatlischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ynáhuatls§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_aztec_reformed_holy_site;Secretly Convert to Voidborn;Adopter en secret la foi Voidborn;Heimlich zum Voidbornischen Glauben konvertieren;;Convertirse en secreto a la religión náhuatl;;;;;;;;;x
secretly_convert_to_aztec_reformed_holy_site_desc;The §YNahuatl§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ynahuatls§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ynahuatlischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ynáhuatls§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
